TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Objets abandonnés;Planches et palettes;2 rue camille pissarro, 75017 PARIS;75017;Paris 17;17.0;2012-07-25T04:00:00+02:00;2012;7;217.0;S;Ramen en tant que prestataire de DansMaRue;CHAMPERRET - BERTHIER;180239;"{""type"": ""Point"", ""coordinates"": [2.301654296750654, 48.890101601985755]}";48.890101602, 2.30165429675
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;62 rue des dames ,75017 PARIS;75017;Paris 17;17.0;2012-07-26T04:00:00+02:00;2012;7;239.0;S;DPE;BATIGNOLLES - CARDINET;180242;"{""type"": ""Point"", ""coordinates"": [2.321430005453442, 48.88379999943486]}";48.8837999994, 2.32143000545
Objets abandonnés;Planches et palettes;44 boulevard de l'hôpital ,75013 PARIS;75013;Paris 13;5.0;2012-08-23T04:00:00+02:00;2012;8;393.0;S;Ramen en tant que prestataire de DansMaRue;JARDIN DES PLANTES;180256;"{""type"": ""Point"", ""coordinates"": [2.363122995689233, 48.84215000289855]}";48.8421500029, 2.36312299569
Propreté;Malpropreté du sol:Autre;85-87 avenue ledru-rollin ,75012 PARIS;75012;Paris 12;12.0;2012-09-14T04:00:00+02:00;2012;9;293.0;S;DPE;ALIGRE - GARE DE LYON;180272;"{""type"": ""Point"", ""coordinates"": [2.375645994205335, 48.85095599729232]}";48.8509559973, 2.37564599421
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;17 rue de la villette ,75019 PARIS;75019;Paris 19;19.0;2012-09-23T04:00:00+02:00;2012;9;573.0;S;DVD;BUTTES CHAUMONT;180275;"{""type"": ""Point"", ""coordinates"": [2.387429001834385, 48.87504600164951]}";48.8750460016, 2.38742900183
Propreté;Malpropreté du sol:Déchets divers épars;305 rue lecourbe ,75015 PARIS;75015;Paris 15;15.0;2012-09-28T04:00:00+02:00;2012;9;728.0;S;DPE;VAUGIRARD - PARC DES EXPOSITIONS;180276;"{""type"": ""Point"", ""coordinates"": [2.286397994705513, 48.8377500033391]}";48.8377500033, 2.28639799471
Objets abandonnés;Planches et palettes;rue victor segalen ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;663.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-BLAISE;180292;"{""type"": ""Point"", ""coordinates"": [2.406248001127075, 48.86036000025763]}";48.8603600003, 2.40624800113
Objets abandonnés;Meubles et éléments de décoration;Rue Saint-Ferdinand, 75017 PARIS;75017;Paris 17;17.0;2012-10-26T04:00:00+02:00;2012;10;717.0;S;Ramen en tant que prestataire de DansMaRue;TERNES - MAILLOT;180294;"{""type"": ""Point"", ""coordinates"": [2.287425830149306, 48.877643630793614]}";48.8776436308, 2.28742583015
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;4 rue albert marquet ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;673.0;S;DVD;SAINT-BLAISE;180296;"{""type"": ""Point"", ""coordinates"": [2.405238998678259, 48.85762799749181]}";48.8576279975, 2.40523899868
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;35 rue davioud ,75016 PARIS;75016;Paris 16;16.0;2012-10-24T04:00:00+02:00;2012;10;497.0;S;graffitis;MUETTE SUD;180298;"{""type"": ""Point"", ""coordinates"": [2.270915000624452, 48.85494999628893]}";48.8549499963, 2.27091500062
